Guest-1: 喂。
 Guest-2: 嗯，是这样子的，嗯，因为它有它目前是四升五嘛。如果说您这边有，刚才有问到这个小托福对吧？嗯，一般你一般哦，如果说之后孩子他要去到美国这样的话，那么你考托福是OK的，那么如果说是你在国内的话呢，那么还是建议孩子能够去考这个剑桥少儿五级的这个内容，那我觉得话可能会更加实用一点点，因为现在的这个中考的这个题型和难度水平是可以。

 Guest-2: 跟是可以跟这个，呃，我们整个的这个嗯，就是剑桥这个题型是相匹配的，所以如果说就是这边的话是想看常识的话，那我觉得话可以先从KT开始去了解孩子，目前特别爱他，能够达到目前的这个A2的这个水平。

 Guest-2: 唉，在那个KET将来。

 Guest-3: 对于这个择校什么的是有有这个是有要求的。

 Guest-2: 吗？是非常有帮助的。但是如果说孩子到初中的这个民办哦，KT，它只是最最基本的，那么有需要他会要要要求你有这个PET的这个。

 Guest-2: KT，它是必须得要要得要有的，因为它是一个就是公认的一个含金量非常高的，能去认定一个孩子英文水平呢？这个国际化这种。

 Guest-2: 他不是中国人国，整个全国都会去这样的孩子英文水平的，那是不是KETPET和小图不，这。

 Guest-3: 三个三选一都可以啊。

 Guest-2: 嗯，您可以这样理解，就是托福小托福的话呢，它的难度就是会等同于PT的，这个难度是相差不多的。但是如果说孩子他之前从来没有参加过类似的考试的话呢，第一个我们可以给孩子先做一个小测评，看看他的这个水平是在因为他里面一共会有六个级别嘛，A1A2B1B和C加六个。

 Guest-2: 那么水平，看它目前是到了哪一个水平。

 Guest-2: 然后再看它目前是要去准备pity还准备KEP还是准备什么？

 Guest-3: 哦，唉，那你们这边的这个培训是有针对这种培训的课程吗？

 Guest-2: 对我们暑假是有针对性的这个课程的，而且音符的这个整个的授课的体系就是根据CEFR的这个标准，而托福包括线上少儿五级，包括现在的这个中高考的这个对标都是对标CEFR的，所以你可以看到目前CEFR它整个的这个国际地位是非常高的，现在国内和国外都是。

 Guest-2: 只要你学英文都是同一个标准，就是按照CEA发这个标准来的，所以你就去杀，你不要对你都是要根据这个对标来去学，一定不会差的，一定不会出错的。

 Guest-3: 哦，唉，那你说的这个课程是，嗯，怎么收费的呀？暑假。

 Guest-2: 嗯，收费的话，第一个我觉得是得要去看小朋友，他的这个嗯，基础吧，看他去适合去读几周我们的暑假班，因为有的孩子可能能力比较好的话，他其实可以止步两周以后，他要可能要读四周，大家都不一样。

 Guest-3: 哦你们是两周一期吗？

 Guest-2: 呃，我们完整的话呢是四个礼拜，但是有的小朋友他技术比较好的话，那么尽量他也可以不参加，因为也是也是比较基础，但是如果孩子本身基础就没有那么扎实的话，那建议他把这个四周的课全部都学完。

 Guest-3: 那那个四周的话是每天都去上课吗？上半天。

 Guest-2: 嗯，半天的话，它是这样子，你周一周三，周四周五是我们周二是公公收的，所以它是不排课，就是周一周三，周四，周五，这四天我们是需要去。

 Guest-3: 半天半闲章上课的哦哦，就这个课上一个月多少钱呀？

 Guest-2: 嗯，妈妈，您妈妈您运气还是特别好的，今天晚上七点到九点半，刚好您来的这个时间段，我们这边是在做这个暑假最后的一个618的一个福利直播，然后呢，在直播间里面他会下发相应的一些券。

 Guest-2: 呃，优惠下来之后的话，如果说看您如果说您是上四周的话，差不多要接近一万一一万块钱吧，九千多这样子。

 Guest-2: 哦，对。

 Guest-2: 那。

 Guest-3: 那你刚才说的这个考级就是这个KET或者PET就是你刚才建议我们是从简单的那个KET2开始考，对吧？

 Guest-2: 哦，可以，其他部分一和二，它就是可以提，只是说我们这边有四周的课程，可以看看孩子目前适合于从全部都学完，还是说是适合学个两周还是怎么样对，然后但只要看孩子一个水平情况了。

 Guest-2: 哦。

 Guest-3: 哦，就是嗯嗯嗯呃，我怎么说呢？

 Guest-3: 就是我，我学完之后考进了中国的。

 Guest-2: 嗯，在音符的话呢，音符它是跟剑桥少儿的这个它是有合作的，所以我们它是有专门的考位和考点的。那比如说像像上半年三月份三3月30号，在我们这边就是我们英孚的这个，这个报名的孩子过去率是在90%以上。

 Guest-2: 基本上你到十个的话就个把它可能会因为一些原因它没有过，但是呢，内容我，我们那个孩子他就差1分1百19分1百二十过线，他119分差了一分所以你担心同学的话呢，他别的呢，他至少能保，保证你的整个的一些通过的一些情况，还有你的这个知知识的一个一个学习，他都是能够去做一个保障的。

 Guest-2: 哦，好的呀，那我应该不啊，那您对衣服应该不陌生吧？

 Guest-3: 嗯，不陌生但是也没上过你们的课。

 Guest-2: 嗯，那您给我有朋友带衣。

 Guest-3: 服学过不就那种小小朋友有学过。

 Guest-2: 哦，还有朋友在这边的话，我们读了七万以上的话，很多很多孩子因为他是从学历上都是有课程。

 Guest-2: 呃，一米四，对吗？

 Guest-2: 嗯嗯，你在衣服学的话呢，基本上应应试的问题就是非常非常少的一个问题了，基本上不会有不会有不会有应试不会的问题的。相反你的英文的综合能力是很强的。你在衣服这边学。

 Guest-3: 嗯，因为你。

 Guest-2: 的英语的综合能力是大于你应试能力的嘛。就像孩子学语文，那语文能力好的。

 Guest-2: 话你。你考啥你。

 Guest-3: 都不你都不会特别的担心你不过啊或者是你不会呀什么的对吧？哦，就是你们也开这个应试的这种课程对吧？不是针对老师什么素质的那种提高口语啊什么，因为我看你们班主点评上都是提高口语训练的。

 Guest-3: 就没有看到，说也可以针对这块复习的。

 Guest-2: 嗯，就是看你想要哪个模块啦。就是如果说你是想要读那模块的话，这边也会有一些听力啊语言表达的这个模块。

 Guest-2: 会给到您去做这个提升对，但是更加的建议您就是因为孩子生五的话，那我还是建议您，如果你读的话呢，你还是就读这种常规的课程，包括我们这个综合的课程会会更好一点。

 Guest-2: 嗯。

 Guest-3: 我，我先了解一下，然后我刚了解因为我之前只看了那个小托福没有看这个PET和KET，我要看一下后面那个学校对这块的一个要求吧。

 Guest-2: 嗯，那能问一下，呃，您就是了解下来的话，您大概对小托福是一个什么样的一个了解啊？

 Guest-3: 我们主要就是为了那个，呃，将来如果摇号去民办或者冲三公的话，可能这个小托福是不是是要求的呀？

 Guest-2: 嗯，是的，如果说是你们将来你要去摇号的话呢？其实，呃，你也不用一定要扣着这个小托福啦，因为其实无论是小托福还是说这个健康少儿五金都可以考，因为他们的对标都是对标法，就是语言的学习，只有一个标准，就看你的等级是a还是A2，包括BEBR。

 Guest-2: 那么小动物它其实对应的是目前这个B1的一个B one的这个英文能力水平，所以你现在无论是考什么都OK，都是可以的，只要你的水平对标了就可以了，它它只是会会对你入学的这个每英文水平是在哪个level，那么对标是对应的考试。

 Guest-2: 你无论是雅思托福，它都是对到11研发，所以你想按照这个标准来去准备就可以了，所以不用分什么托福或者说考这个剑桥的，它其实就是都可以，它就是不同类型的考试来去跟你刚才说。

 Guest-3: 的那个。

 Guest-3: 标准去做对标它只要是说这个考试的这个达到定的这个分数能够对标到它那个要求的那个，呃，对就可以了。

 Guest-3: 它并不是限制到小托福或者是是其他的或者什么的，对吧？

 Guest-2: 对，所以它不是限制孩子，你一定要考健康，你一定要考托福或者考小托福，对你只要有这个英文能力水平在里面就可以。

 Guest-2: 嗯。

 Guest-3: 好的，好的，那我知道了我我了解一下然后我晚上过去再看看，好吧？

 Guest-2: 嗯，晚上的话呢，会先给孩子先做一个小测评嘛，看看他目前的这个水平是在哪里吧。嗯，好的，你们一般就只有今天晚上有时间，对吧？七点钟。

 Guest-3: 呃，也不是我们后面得看我们整个暑假的安排，因为今天正好那个放学放的早，所以想过去看。

 Guest-3: 啊嗯。

 Guest-2: 那能方便问一下就是你们现在就是，呃，暑假大概是怎么安排的吗？就是孩子的暑假安排。

 Guest-3: 我们现在正在安排正正在看这些机构安排的当当，当当中，是吧？对对对哦。

 Guest-2: 嗯嗯嗯好呀好呀，所以就是音符。其实您前面其实已经咨询了一家对吧？现在您咨询的是这种专门的这种出国留留学备考吗？还是什么？

 Guest-3: 我就咨询了一下新东方。

 Guest-3: 嗯。

 Guest-2: 您应该听的是新东方这个国际备考中心哦。对呀。

 Guest-2: 对。

 Guest-2: 嗯，好呀呃，那我。我看就是您今天下。

 Guest-4: 午的话，嗯？

 Guest-2: 你今天下午三点到五点钟之间您时间方便吗？

 Guest-3: 哦，不太方便。

 Guest-2: 哦，只有晚上有时间，是吧？

 Guest-3: 你，你是。你是三点到五点才有时间吗？

 Guest-2: 嗯，没有，就是如果您现在五点钟有时间的话，因为我们刚好这一期暑假的代课老师，这些KT代课老师之一，他可以分给的五点是三点到四点吧，是有时间的。

 Guest-2: 可以做，然后呢？七点钟之后的话，可能就另外一个老老师给孩子做特别，但这个也都OK，然后我只是跟你去讲一下，如果你下午因为寒假不是已经放暑假了吗？三十号四点钟见，如果你不会的话，我现在可以帮你改到这个时间段。

 Guest-2: 哦。

 Guest-3: 行，那你帮我改到三点到五点吧。

 Guest-3: 我把我这个是第三。

 Guest-2: 那您现在在33点半左右能能到吗？

 Guest-3: 三点半吗？

 Guest-2: 唉，对的。

 Guest-3: 啊，差不多吧，我应该三点多一点点就到了吧。好好，那我这边给您改到三点半左右吧。好吧，然后我让老师这边先准。

 Guest-2: 备一下哦，好。

 Guest-3: 的好的，嗯。

 Guest-2: 好，那我们等会儿见然后我这边加一个您微信，好吧，这个是您的手机号码，嗯，对的。

 Guest-2: 哦，行，嗯，那我顺便再问一下，就是他之前课外有体系化学过吗？如果他没有体系化学过的话，那我估摸着可能他目前也就是KT的这个prepare的一个能力，如果他要学过的话，可能会会稍微会好好一些，就是光靠学校的话，基本上很难去完成这个综合的能力提升的。他之前有过网友学过吗？

 Guest-3: 我们以前课外上的是学而思的网课，就几年疫情的时候一直在上网课，然后后来那个就嗯，网课效果实在太差了，就停掉了。

 Guest-2: 嗯，好呀好呀，那我们到时候先看看小朋友他的这个英文基础的情况，好吧，嗯，拜拜。

 Guest-2: 嗯，好，那我们等会儿先，然后我先加一个您微信吧，是这个手机号对不对？哎哎好的，那你通过一下啊，然后到时候我们三点半回见，嗯，好好唉好，嗯，好，嗯，拜拜。

